age (bin),Division,Name,Region,sex,State,age,Census 2000 Gender,CENSUS2000,ESTBASE2000,Number of Records,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006
0,New England,Connecticut,Northeast,Male,9,0,-21835,21835,21835,1,22064,21896,21532,21766,21828,20061,18407
0,New England,Connecticut,Northeast,Male,9,1,-22791,22791,22791,1,22670,22079,21963,21617,21775,21828,20056
0,New England,Connecticut,Northeast,Male,9,2,-22271,22271,22272,1,22340,22677,22117,22012,21614,21769,21828
0,New England,Connecticut,Northeast,Male,9,3,-23421,23421,23422,1,23350,22369,22763,22186,22026,21650,21805
0,New England,Connecticut,Northeast,Male,9,4,-23811,23811,23811,1,23659,23377,22434,22833,22176,22034,21680
5,New England,Connecticut,Northeast,Male,9,5,-23944,23944,23944,1,23973,23723,23473,22525,22863,22194,22074
5,New England,Connecticut,Northeast,Male,9,6,-24609,24609,24609,1,24521,24007,23803,23542,22518,22872,22198
5,New England,Connecticut,Northeast,Male,9,7,-25114,25114,25114,1,24970,24581,24100,23892,23554,22526,22899
5,New England,Connecticut,Northeast,Male,9,8,-25188,25188,25188,1,25099,25033,24676,24186,23909,23561,22535
5,New England,Connecticut,Northeast,Male,9,9,-26148,26148,26149,1,25925,25139,25120,24747,24178,23907,23560
10,New England,Connecticut,Northeast,Male,9,10,-26221,26221,26221,1,26449,26009,25266,25236,24778,24206,23951
10,New England,Connecticut,Northeast,Male,9,11,-25096,25096,25097,1,25289,26502,26093,25343,25238,24775,24203
10,New England,Connecticut,Northeast,Male,9,12,-24668,24668,24668,1,24687,25352,26593,26168,25336,25237,24773
10,New England,Connecticut,Northeast,Male,9,13,-23838,23838,23839,1,23949,24791,25477,26698,26185,25354,25269
10,New England,Connecticut,Northeast,Male,9,14,-23883,23883,23883,1,23812,24034,24894,25563,26699,26172,25347
15,New England,Connecticut,Northeast,Male,9,15,-23184,23184,23184,1,23416,23911,24157,25005,25584,26705,26171
15,New England,Connecticut,Northeast,Male,9,16,-22750,22750,22750,1,22742,23406,23930,24152,24913,25476,26593
15,New England,Connecticut,Northeast,Male,9,17,-22317,22317,22317,1,22281,22703,23379,23882,24001,24747,25298
15,New England,Connecticut,Northeast,Male,9,18,-21807,21807,21809,1,21973,23456,23850,24524,24934,24926,25580
15,New England,Connecticut,Northeast,Male,9,19,-21233,21233,21233,1,21180,22199,23264,23393,24201,24194,24173
20,New England,Connecticut,Northeast,Male,9,20,-20636,20636,20636,1,20862,21306,22332,23254,23394,23869,24021
20,New England,Connecticut,Northeast,Male,9,21,-19664,19664,19664,1,19933,21106,21513,22510,23524,23301,23874
20,New England,Connecticut,Northeast,Male,9,22,-18610,18610,18610,1,18699,19317,20511,20777,21938,22653,22440
20,New England,Connecticut,Northeast,Male,9,23,-18177,18177,18177,1,18450,18311,18925,20154,20340,21437,22211
20,New England,Connecticut,Northeast,Male,9,24,-18016,18016,18016,1,17987,18574,18436,19066,20294,20311,21590
25,New England,Connecticut,Northeast,Male,9,25,-18763,18763,18763,1,18783,18346,18974,18827,19372,20608,20625
25,New England,Connecticut,Northeast,Male,9,26,-17893,17893,17893,1,18062,18886,18524,19147,18835,19366,20717
25,New England,Connecticut,Northeast,Male,9,27,-19154,19154,19154,1,18959,18557,19476,19096,19554,19174,19810
25,New England,Connecticut,Northeast,Male,9,28,-21117,21117,21118,1,20916,19381,19148,19991,19452,19824,19493
25,New England,Connecticut,Northeast,Male,9,29,-23053,23053,23054,1,22816,21218,19813,19560,20203,19615,20033
30,New England,Connecticut,Northeast,Male,9,30,-24353,24353,24353,1,24370,23209,21729,20258,19843,20430,19855
30,New England,Connecticut,Northeast,Male,9,31,-23205,23205,23206,1,23565,24721,23634,22110,20465,20042,20592
30,New England,Connecticut,Northeast,Male,9,32,-23839,23839,23839,1,23864,24030,25249,24120,22494,20848,20412
30,New England,Connecticut,Northeast,Male,9,33,-24732,24732,24732,1,24694,24033,24263,25423,24228,22657,20922
30,New England,Connecticut,Northeast,Male,9,34,-26604,26604,26604,1,26327,24941,24395,24578,25653,24551,22882
35,New England,Connecticut,Northeast,Male,9,35,-28488,28488,28489,1,27991,26417,25124,24572,24619,25786,24623
35,New England,Connecticut,Northeast,Male,9,36,-28351,28351,28351,1,28486,28315,26790,25518,24809,24948,26094
35,New England,Connecticut,Northeast,Male,9,37,-27677,27677,27677,1,27690,28360,28248,26777,25310,24663,24821
35,New England,Connecticut,Northeast,Male,9,38,-28843,28843,28843,1,28750,27953,28673,28572,26988,25514,24890
35,New England,Connecticut,Northeast,Male,9,39,-29121,29121,29122,1,29127,28895,28094,28830,28653,27063,25598
40,New England,Connecticut,Northeast,Male,9,40,-29877,29877,29877,1,29704,29222,28967,28156,28870,28661,27098
40,New England,Connecticut,Northeast,Male,9,41,-28617,28617,28617,1,28907,30179,29674,29391,28553,29277,29087
40,New England,Connecticut,Northeast,Male,9,42,-29302,29302,29302,1,29121,28546,29831,29338,28972,28114,28901
40,New England,Connecticut,Northeast,Male,9,43,-27800,27800,27801,1,28238,29071,28531,29820,29248,28872,28054
40,New England,Connecticut,Northeast,Male,9,44,-27153,27153,27153,1,27132,28378,29240,28672,29931,29321,28979
45,New England,Connecticut,Northeast,Male,9,45,-27129,27129,27129,1,27054,26850,28098,28960,28334,29565,28998
45,New England,Connecticut,Northeast,Male,9,46,-25484,25484,25484,1,25914,27171,26980,28205,29037,28361,29631
45,New England,Connecticut,Northeast,Male,9,47,-24720,24720,24720,1,24724,25845,27078,26894,28100,28906,28240
45,New England,Connecticut,Northeast,Male,9,48,-23859,23859,23859,1,23916,24563,25697,26940,26689,27891,28701
45,New England,Connecticut,Northeast,Male,9,49,-22680,22680,22680,1,22993,23897,24538,25686,26881,26638,27847
50,New England,Connecticut,Northeast,Male,9,50,-22950,22950,22950,1,22856,22968,23875,24526,25623,26832,26581
50,New England,Connecticut,Northeast,Male,9,51,-22262,22262,22262,1,22527,22750,22897,23794,24392,25481,26678
50,New England,Connecticut,Northeast,Male,9,52,-23343,23343,23343,1,22823,22335,22585,22747,23573,24199,25291
50,New England,Connecticut,Northeast,Male,9,53,-23272,23272,23272,1,24458,22511,22035,22297,22398,23245,23887
50,New England,Connecticut,Northeast,Male,9,54,-18414,18414,18414,1,18715,24413,22445,21973,22181,22336,23209
55,New England,Connecticut,Northeast,Male,9,55,-18084,18084,18084,1,18088,18310,23989,21979,21460,21725,21906
