CountryName,Year,Unemployment Rate,Corruption Index,Inflation,GDP,,,,,,,,
Austria,2007,4.4,,2.2,3.7,,,,,,,,
Austria,2008,3.8,8.1,3.2,1.1,,,,,,,,
Austria,2009,4.8,7.9,0.4,-3.5,,,,,,,,
Austria,2010,4.4,7.9,1.7,2.2,,,,,,,,
Austria,2011,4.1,7.8,3.6,2.7,,,,,,,,
Austria,2012,4.4,6.9,2.4,0.6,,,,,,,,
Austria,2013,4.7,,1.9,0.8,,,,,,,,
Austria,2014,4.7,,1.6,1.8,,,,,,,,
Belgium,2007,7.5,,1.8,2.9,,,,,,,,
Belgium,2008,7,7.3,4.5,1,,,,,,,,
Belgium,2009,7.9,7.1,0,-2.7,,,,,,,,
Belgium,2010,8.3,7.1,2.3,2.4,,,,,,,,
Belgium,2011,7.2,7.5,3.5,1.8,,,,,,,,
Belgium,2012,7.4,7.5,2.6,-0.1,,,,,,,,
Belgium,2013,7.7,,1.8,0.5,,,,,,,,
Belgium,2014,7.7,,1.6,1.6,,,,,,,,
Czech Republic,2007,5.3,,3,5.7,,,,,,,,
Czech Republic,2008,4.4,5.2,6.3,3.1,,,,,,,,
Czech Republic,2009,6.7,4.9,1,-4.5,,,,,,,,
Czech Republic,2010,7.3,4.6,1.5,2.5,,,,,,,,
Czech Republic,2011,6.7,4.4,1.9,1.9,,,,,,,,
Czech Republic,2012,6.9,5.2,3.2,-0.9,,,,,,,,
Czech Republic,2013,7.2,,2,0.8,,,,,,,,
Czech Republic,2014,7.1,,2.1,2.4,,,,,,,,
Denmark,2007,3.7,,1.7,1.6,,,,,,,,
Denmark,2008,3.3,9.3,3.4,-0.8,,,,,,,,
Denmark,2009,5.8,9.3,1.3,-5.7,,,,,,,,
Denmark,2010,7.2,9.3,2.3,1.6,,,,,,,,
Denmark,2011,7.3,9.4,2.8,1.1,,,,,,,,
Denmark,2012,7.5,9.0,2.4,0.2,,,,,,,,
Denmark,2013,7.4,,1.8,1.4,,,,,,,,
Denmark,2014,7.3,,2,1.7,,,,,,,,
Finland,2007,6.9,,1.6,5.3,,,,,,,,
Finland,2008,6.4,9.0,3.9,0.3,,,,,,,,
