Harvard University,1,8,27594,740,745,33,98,38415,38415,31728
Princeton University,2,10,7724,745,740,33,99,36640,36640,16502
Yale University,3,10,11701,745,750,32,99,38300,38300,19374
California Institute of Technology,4,17,2175,785,730,34,98,36282,36282,1772
Massachusetts Institute of Technology,5,12,10566,760,710,33,97,39212,39212,9712
Stanford University,6,9,19535,730,705,32,98,40172,40172,13851
Williams College,7,17,2101,710,710,31,96,41434,41434,1784
Amherst College,8,15,1794,710,710,31,96,40862,40862,1641
Pomona College,9,16,1560,735,740,32,97,38394,38394,1700
Swarthmore College,10,16,1524,715,720,31,94,39600,39600,1508
University of Chicago,11,28,15152,705,715,31,98,42041,42041,6575
Columbia University in the City of New York,12,11,25208,725,710,31,97,43304,43304,7789
Claremont McKenna College,13,19,1278,700,700,,95,40230,40230,543.23
Dartmouth College,14,15,6141,725,715,32,97,40437,40437,3413
Carleton College,15,27,2020,695,705,31,98,41304,41304,653.46
Northwestern University,16,27,20481,725,710,32,96,40223,40223,7182
Duke University,17,23,15016,735,705,32,97,40243,40243,5747
Brown University,18,14,8705,725,705,31,97,40820,40820,2496
Haverford College,19,27,1177,695,695,,96,40624,40624,402.7
Washington and Lee University,20,17,2173,700,700,30,94,40387,40387,1218
Bowdoin College,21,19,1762,700,705,31,94,41565,41565,904.21
University of Pennsylvania,22,17,25007,730,695,32,98,40514,40514,6582
Middlebury College,23,21,2532,695,700,31,96,41414,41414,907.66
Harvey Mudd College,24,28,773,770,725,,99,40390,40390,243.12
University of Notre Dame,25,27,11992,715,695,33,98,39919,39919,6259
Vassar College,26,25,2446,675,705,31,96,43190,43190,814.13
Wellesley College,27,36,2546,678,690,30,96,39666,39666,1499
Wesleyan University,28,27,3215,695,700,30,98,42084,42084,589.81
Rice University,29,23,5879,725,700,32,95,33771,33771,4451
United States Military Academy (West Point),30,16,4686,635,615,28,95,,,
United States Naval Academy,31,14,4603,650,615,,97,,,
Cornell University,32,21,20939,720,680,31,96,39666,39666,5059
Colby College,33,31,1825,675,680,30,95,41380,41380,611.44
Tufts University,34,25,10480,710,710,,97,41598,41598,1403
Vanderbilt University,35,25,12714,720,695,32,97,39930,39930,3414
Colgate University,36,24,2903,685,680,31,93,41870,41870,693.43
Emory University,37,27,13381,700,685,31,94,39158,39158,5400
Georgetown University,38,19,16937,680,675,30,96,40203,40203,1160
Davidson College,39,26,1742,684,680,30,96,36683,36683,509.58
United States Air Force Academy,40,18,4619,660,638,30,90,,,23.7
