1901;Physics;Wilhelm Conrad Roentgen;Germany;100;ind;M;The Nobel Prize in Physics 1901 was awarded to Wilhelm Conrad Roentgen in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him.
1902;Physics;Hendrik Antoon Lorentz;Netherlands;50;ind;M;The Nobel Prize in Physics 1902 was awarded partly to Hendrik Antoon Lorentz in recognition of the extraordinary service he and Pieter Zeeman rendered by their researches into the influence of magnetism upon radiation phenomena.
1902;Physics;Pieter Zeeman;Netherlands;50;ind;M;The Nobel Prize in Physics 1902 was awarded partly to Pieter Zeeman in recognition of the extraordinary service he and Hendrik Antoon Lorentz rendered by their researches into the influence of magnetism upon radiation phenomena.
1903;Physics;Antoine Henri Becquerel;France;50;ind;M;The Nobel Prize in Physics 1903 was awarded partly to Antoine Henri Becquerel in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity.
1903;Physics;Pierre Curie;France;25;ind;M;The Nobel Prize in Physics 1903 was awarded partly to Pierre Curie in recognition of the extraordinary services he and Marie Curie have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel.
1903;Physics;Marie Curie, nee Sklodowska;France;25;ind;F;The Nobel Prize in Physics 1903 was awarded partly to Marie Curie, nee Sklodowska in recognition of the extraordinary services she and Pierre Curie have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel.
1904;Physics;Lord Rayleigh (John William Strutt);United Kingdom;100;ind;M;The Nobel Prize in Physics 1904 was awarded to Lord Rayleigh for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies.
1905;Physics;Philipp Eduard Anton von Lenard;Germany;100;ind;M;The Nobel Prize in Physics 1905 was awarded to Philipp Lenard for his work on cathode rays.
1906;Physics;Joseph John Thomson;United Kingdom;100;ind;M;The Nobel Prize in Physics 1906 was awarded to J.J. Thomson in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases.
1907;Physics;Albert Abraham Michelson;USA;100;ind;M;The Nobel Prize in Physics 1907 was awarded to Albert A. Michelson for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid.
1908;Physics;Gabriel Lippmann;France;100;ind;M;The Nobel Prize in Physics 1908 was awarded to Gabriel Lippmann for his method of reproducing colours photographically based on the phenomenon of interference.
1909;Physics;Guglielmo Marconi;United Kingdom;50;ind;M;The Nobel Prize in Physics 1909 was awarded partly to Guglielmo Marconi in recognition of his and Karl Ferdinand Braun contributions to the development of wireless telegraphy.
1909;Physics;Karl Ferdinand Braun;Germany;50;ind;M;The Nobel Prize in Physics 1909 was awarded partly to Karl Ferdinand Braun in recognition of his and Guglielmo Marconi contributions to the development of wireless telegraphy.
1910;Physics;Johannes Diderik van der Waals;Netherlands;100;ind;M;The Nobel Prize in Physics 1910 was awarded to Johannes Diderik van der Waals for his work on the equation of state for gases and liquids.
1911;Physics;Wilhelm Wien;Germany;100;ind;M;The Nobel Prize in Physics 1911 was awarded to Wilhelm Wien for his discoveries regarding the laws governing the radiation of heat.
1912;Physics;Nils Gustaf Dalen;Sweden;100;ind;M;The Nobel Prize in Physics 1912 was awarded to Gustaf Dalen for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys.
1913;Physics;Heike Kamerlingh Onnes;Netherlands;100;ind;M;The Nobel Prize in Physics 1913 was awarded to Heike Kamerlingh Onnes for his investigations on the properties of matter at low temperatures which led, inter alia, to the production of liquid helium.
1914;Physics;Max von Laue;Germany;100;ind;M;The Nobel Prize in Physics 1914 was awarded to Max von Laue for his discovery of the diffraction of X-rays by crystals.
1915;Physics;Sir William Henry Bragg;United Kingdom;50;ind;M;The Nobel Prize in Physics 1915 was awarded partly to Sir William Henry Bragg for his and William Lawrence Bragg services in the analysis of crystal structure by means of X-rays.
1915;Physics;William Lawrence Bragg;United Kingdom;50;ind;M;The Nobel Prize in Physics 1915 was awarded partly to William Lawrence Bragg for his and Sir William Henry Bragg services in the analysis of crystal structure by means of X-rays.
1917;Physics;Charles Glover Barkla;United Kingdom;100;ind;M;The Nobel Prize in Physics 1917 was awarded to Charles Glover Barkla for his discovery of the characteristic Roentgen radiation of the elements. He received his Nobel Prize for 1917 one year later, in 1918.
1918;Physics;Max Karl Ernst Ludwig Planck;Germany;100;ind;M;The Nobel Prize in Physics 1918 was awarded to Max Planck in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta. He received his Nobel Prize for 1918 one year later, in 1919.
1919;Physics;Johannes Stark;Germany;100;ind;M;The Nobel Prize in Physics 1919 was awarded to Johannes Stark for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields.
1920;Physics;Charles Edouard Guillaume;France;100;ind;M;The Nobel Prize in Physics 1920 was awarded to Charles Edouard Guillaume in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys.
1921;Physics;Albert Einstein;Germany;100;ind;M;The Nobel Prize in Physics 1921 was awarded to Albert Einstein for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect.
1922;Physics;Niels Henrik David Bohr;Denmark;100;ind;M;The Nobel Prize in Physics 1922 was awarded to Niels Bohr for his services in the investigation of the structure of atoms and of the radiation emanating from them.
1923;Physics;Robert Andrews Millikan;USA;100;ind;M;The Nobel Prize in Physics 1923 was awarded to Robert A. Millikan for his work on the elementary charge of electricity and on the photoelectric effect.
1924;Physics;Karl Manne Georg Siegbahn;Sweden;100;ind;M;The Nobel Prize in Physics 1924 was awarded to Manne Siegbahn for his discoveries and research in the field of X-ray spectroscopy. He received his Nobel Prize for 1924 one year later, in 1925.
1925;Physics;James Franck;Germany;50;ind;M;The Nobel Prize in Physics 1925 was awarded partly to James Franck for his and Gustav Ludwig Hertz discovery of the laws governing the impact of an electron upon an atom. He received his Nobel Prize for 1925 one year later, in 1926.
1925;Physics;Gustav Ludwig Hertz;Germany;50;ind;M;The Nobel Prize in Physics 1925 was awarded partly to Gustav Ludwig Hertz for his and James Franck discovery of the laws governing the impact of an electron upon an atom. He received his Nobel Prize for 1925 one year later, in 1926.
1926;Physics;Jean Baptiste Perrin;France;100;ind;M;The Nobel Prize in Physics 1926 was awarded to Jean Baptiste Perrin for his work on the discontinuous structure of matter, and especially for his discovery of sedimentation equilibrium.
1927;Physics;Arthur Holly Compton;USA;50;ind;M;The Nobel Prize in Physics 1927 was was awarded partly to Arthur Holly Compton for his discovery of the effect named after him.
1927;Physics;Charles Thomson Rees Wilson;United Kingdom;50;ind;M;The Nobel Prize in Physics 1927 was was awarded partly to Charles Thomson Rees Wilson for his method of making the paths of electrically charged particles visible by condensation of vapour.
1928;Physics;Owen Willans Richardson;United Kingdom;100;ind;M;The Nobel Prize in Physics 1928 was awarded to Owen Willans Richardson for his work on the thermionic phenomenon and especially for the discovery of the law named after him. He received his Nobel Prize for 1928 one year later, in 1929.
1929;Physics;Prince Louis-Victor Pierre Raymond de Broglie;France;100;ind;M;The Nobel Prize in Physics 1929 was awarded to Louis de Broglie for his discovery of the wave nature of electrons.
1930;Physics;Sir Chandrasekhara Venkata Raman;India;100;ind;M;The Nobel Prize in Physics 1930 was awarded to Sir Venkata Raman for his work on the scattering of light and for the discovery of the effect named after him.
1932;Physics;Werner Karl Heisenberg;Germany;100;ind;M;The Nobel Prize in Physics 1932 was awarded to Werner Heisenberg for the creation of quantum mechanics, the application of which has, inter alia, led to the discovery of the allotropic forms of hydrogen. He received his Nobel Prize for 1932 one year later, in 1933.
1933;Physics;Erwin Schroedinger;Germany;50;ind;M;The Nobel Prize in Physics 1933 was awarded partly to Erwin Schroedinger for the discovery of new productive forms of atomic theory.
1933;Physics;Paul Adrien Maurice Dirac;United Kingdom;50;ind;M;The Nobel Prize in Physics 1933 was awarded partly to Paul Adrien Maurice Dirac for the discovery of new productive forms of atomic theory.
1935;Physics;James Chadwick;United Kingdom;100;ind;M;The Nobel Prize in Physics 1935 was awarded to James Chadwick for the discovery of the neutron.
1936;Physics;Victor Franz Hess;Austria;50;ind;M;The Nobel Prize in Physics 1936 was awarded partly to Victor Franz Hess for his discovery of cosmic radiation
1936;Physics;Carl David Anderson;USA;50;ind;M;The Nobel Prize in Physics 1936 was awarded partly to Carl David Anderson for his discovery of the positron.
1937;Physics;Clinton Joseph Davisson;USA;50;ind;M;The Nobel Prize in Physics 1937 was awarded partly to Clinton Joseph Davisson for his and George Paget Thomson experimental discovery of the diffraction of electrons by crystals.
1937;Physics;George Paget Thomson;United Kingdom;50;ind;M;The Nobel Prize in Physics 1937 was awarded partly to George Paget Thomson for his and Clinton Joseph Davisson experimental discovery of the diffraction of electrons by crystals.
1938;Physics;Enrico Fermi;Italy;100;ind;M;The Nobel Prize in Physics 1938 was awarded to Enrico Fermi for his demonstrations of the existence of new radioactive elements produced by neutron irradiation, and for his related discovery of nuclear reactions brought about by slow neutrons.
1939;Physics;Ernest Orlando Lawrence;USA;100;ind;M;The Nobel Prize in Physics 1939 was awarded to Ernest Lawrence for the invention and development of the cyclotron and for results obtained with it, especially with regard to artificial radioactive elements.
1943;Physics;Otto Stern;USA;100;ind;M;The Nobel Prize in Physics 1943 was awarded to Otto Stern for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton. He received his Nobel Prize for 1943 one year later, in 1944.
1944;Physics;Isidor Isaac Rabi;USA;100;ind;M;The Nobel Prize in Physics 1944 was awarded to Isidor Isaac Rabi for his resonance method for recording the magnetic properties of atomic nuclei.
1945;Physics;Wolfgang Pauli;USA;100;ind;M;The Nobel Prize in Physics 1945 was awarded to Wolfgang Pauli for the discovery of the Exclusion Principle, also called the Pauli Principle.
1946;Physics;Percy Williams Bridgman;USA;100;ind;M;The Nobel Prize in Physics 1946 was awarded to Percy W. Bridgman for the invention of an apparatus to produce extremely high pressures, and for the discoveries he made therewith in the field of high pressure physics.
1947;Physics;Sir Edward Victor Appleton;United Kingdom;100;ind;M;The Nobel Prize in Physics 1947 was awarded to Edward V. Appleton for his investigations of the physics of the upper atmosphere especially for the discovery of the so-called Appleton layer.
1948;Physics;Patrick Maynard Stuart Blackett;United Kingdom;100;ind;M;The Nobel Prize in Physics 1948 was awarded to Patrick M.S. Blackett for his development of the Wilson cloud chamber method, and his discoveries therewith in the fields of nuclear physics and cosmic radiation.
1949;Physics;Hideki Yukawa;USA;100;ind;M;The Nobel Prize in Physics 1949 was awarded to Hideki Yukawa for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces.
1950;Physics;Cecil Frank Powell;United Kingdom;100;ind;M;The Nobel Prize in Physics 1950 was awarded to Cecil Powell for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method.
1951;Physics;Sir John Douglas Cockcroft;United Kingdom;50;ind;M;The Nobel Prize in Physics 1951 was awarded partly to Sir John Douglas Cockcroft for his and Ernest Thomas Sinton Walton pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles.
1951;Physics;Ernest Thomas Sinton Walton;Ireland;50;ind;M;The Nobel Prize in Physics 1951 was awarded partly to Ernest Thomas Sinton Walton for his and Sir John Douglas Cockcroft pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles.
1952;Physics;Felix Bloch;USA;50;ind;M;The Nobel Prize in Physics 1952 was awarded partly to Felix Bloch for his and Edward Mills Purcell development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith.
